sample_id,date,feature_name,location,code,pcs/m,quantity,parent_boundary,length,groupname,city,feature_type,canton
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G28,0.0,0,les-alpes,75.0,personal items,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G131,0.0,0,les-alpes,75.0,personal items,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G149,0.0,0,les-alpes,75.0,packaging non food,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G208,0.0,0,les-alpes,75.0,unclassified,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G931,0.0,0,les-alpes,75.0,infrastructure,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G916,0.0,0,les-alpes,75.0,personal items,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G124,0.0,0,les-alpes,75.0,unclassified,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G915,0.0,0,les-alpes,75.0,personal items,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G146,0.0,0,les-alpes,75.0,packaging non food,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G703,0.0,0,les-alpes,75.0,infrastructure,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G139,0.0,0,les-alpes,75.0,personal items,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G704,0.0,0,les-alpes,75.0,infrastructure,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G711,0.0,0,les-alpes,75.0,recreation,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G934,0.0,0,les-alpes,75.0,agriculture,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G210,0.0,0,les-alpes,75.0,unclassified,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G65,0.0,0,les-alpes,75.0,agriculture,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G901,0.0,0,les-alpes,75.0,personal items,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G943,0.0,0,les-alpes,75.0,agriculture,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G708,0.0,0,les-alpes,75.0,recreation,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G175,0.0,0,les-alpes,75.0,food and drink,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G211,0.0,0,les-alpes,75.0,personal items,Troistorrents,p,Valais
